Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
DDO-0154,LSB,4.2,0.007,0.8,8.1,0.03,0.003,0.45,1.12,"<a href=""http://arxiv.org/abs/0810.2100"">[10]</a>-[11]-[12]-[11]"
IC-2574,LSB,4.5,0.345,4.2,13.1,0.19,0.098,0.28,1.69,"<a href=""http://arxiv.org/abs/0810.2100"">[10]</a>-[11]-[13]-[11]"
NGC-0925,LSB,8.7,1.444,3.9,12.4,0.41,1.372,0.95,4.17,[10]-[11]-[12]-[11]
NGC-2403,HSB,4.3,1.647,2.7,23.9,0.46,2.37,1.44,2.89,[10]-[11]-[14]-[11]
NGC-2841,HSB,14.1,4.742,3.5,51.6,0.86,19.552,4.12,5.83,[10]-[11]-[15]-[11]
NGC-2903,HSB,9.4,4.088,3,30.9,0.49,7.155,1.75,3.75,[10]-[11]-[14]-[11]
NGC-2976,LSB,3.6,0.201,1.2,2.6,0.01,0.322,1.6,10.43,[10]-[11]-[16]-[11]
NGC-3031,HSB,3.7,3.187,2.6,15,0.38,8.662,2.72,9.31,[10]-[11]-[17]-[11]
NGC-3198,HSB,14.1,3.241,4,38.6,1.06,3.644,1.12,2.09,[10]-[11]-[14]-[11]
NGC-3521,HSB,12.2,4.769,3.3,35.3,1.03,9.245,1.94,4.21,[10]-[11]-[12]-[11]
NGC-3621,HSB,7.4,2.048,2.9,28.7,0.89,2.891,1.41,3.18,[10]-[11]-[10]-[11]
NGC-3627,HSB,10.2,3.7,3.1,8.2,0.1,6.622,1.79,15.64,[10]-[11]-[12]-[11]
NGC-4736,HSB,5,1.46,2.1,10.3,0.05,1.63,1.6,4.66,[10]-[11]-[10]-[11]
NGC-4826,HSB,5.4,1.441,2.6,15.8,0.03,3.64,2.53,5.46,[10]-[11]-[18]-[11]
NGC-5055,HSB,9.2,3.622,2.9,44.4,0.76,6.035,1.87,2.36,[10]-[11]-[12]-[11]
NGC-6946,HSB,6.9,3.732,2.9,22.4,0.57,6.272,1.68,6.39,[10]-[11]-[12]-[11]
NGC-7331,HSB,14.2,6.773,3.2,24.4,0.85,12.086,1.78,9.61,[10]-[11]-[12]-[11]
NGC-7793,HSB,5.2,0.91,1.7,10.3,0.16,0.793,0.87,3.61,[10]-[11]-[12]-[11]
NGC-3726,HSB,17.4,3.34,3.2,31.5,0.6,3.82,1.15,3.19,[19]-[20]-[21]-[20]
NGC-3769,HSB,15.5,0.684,1.5,32.2,0.41,1.36,1.99,1.43,[19]-[20]-[21]-[20]
NGC-3877,HSB,15.5,1.948,2.4,9.8,0.11,3.44,1.76,10.51,[19]-[20]-[21]-[20]
NGC-3893,HSB,18.1,2.928,2.4,20.5,0.59,5,1.71,3.85,[19]-[20]-[21]-[20]
NGC-3917,LSB,16.9,1.334,2.8,13.9,0.17,2.23,1.67,4.85,[19]-[20]-[21]-[20]
NGC-3949,HSB,18.4,2.327,1.7,7.2,0.35,2.37,1.02,14.23,[19]-[20]-[21]-[20]
NGC-3953,HSB,18.7,4.236,3.9,16.3,0.31,9.79,2.31,10.2,[19]-[20]-[21]-[20]
NGC-3972,HSB,18.6,0.978,2,9,0.13,1.49,1.53,7.18,[19]-[20]-[21]-[20]
NGC-3992,HSB,25.6,8.456,5.7,49.6,1.94,13.94,1.65,4.08,[19]-[20]-[21]-[20]
NGC-4010,LSB,18.4,0.883,3.4,10.6,0.29,2.03,2.3,5.03,[19]-[20]-[21]-[20]
NGC-4013,HSB,18.6,2.088,2.1,33.1,0.32,5.58,2.67,3.14,[19]-[20]-[21]-[20]
NGC-4051,HSB,14.6,2.281,2.3,9.9,0.18,3.17,1.39,8.52,[19]-[20]-[22]-[20]
NGC-4085,HSB,19,1.212,1.6,6.5,0.15,1.34,1.11,10.21,[19]-[20]-[21]-[20]
NGC-4088,HSB,15.8,2.957,2.8,18.8,0.64,4.67,1.58,5.79,[19]-[20]-[21]-[20]
NGC-4100,HSB,21.4,3.388,2.9,27.1,0.44,5.74,1.69,3.35,[19]-[20]-[21]-[20]
NGC-4138,LSB,15.6,0.827,1.2,16.1,0.11,2.97,3.59,5.04,[19]-[20]-[21]-[20]
NGC-4157,HSB,18.7,2.901,2.6,30.9,0.88,5.83,2.01,3.99,[19]-[20]-[21]-[20]
NGC-4183,HSB,16.7,1.042,2.9,19.5,0.3,1.43,1.38,2.36,[19]-[20]-[21]-[20]
NGC-4217,HSB,19.6,3.031,3.1,18.2,0.3,5.53,1.83,6.28,[19]-[20]-[21]-[20]
NGC-4389,HSB,15.5,0.61,1.2,4.6,0.04,0.42,0.68,9.49,[19]-[20]-[21]-[20]
UGC-6399,LSB,18.7,0.291,2.4,8.1,0.07,0.59,2.04,3.42,[19]-[20]-[21]-[20]
UGC-6446,LSB,15.9,0.263,1.9,13.6,0.24,0.36,1.36,1.7,[19]-[20]-[22]-[20]
UGC-6667,LSB,19.8,0.422,3.1,8.6,0.1,0.71,1.67,3.09,[19]-[20]-[21]-[20]
UGC-6818,LSB,21.7,0.352,2.1,8.4,0.16,0.11,0.33,2.35,[19]-[20]-[21]-[20]
UGC-6917,LSB,18.9,0.563,2.9,10.9,0.22,1.24,2.2,4.05,[19]-[20]-[21]-[20]
UGC-6923,LSB,18,0.297,1.5,5.3,0.08,0.35,1.18,4.43,[19]-[20]-[22]-[20]
UGC-6930,LSB,17,0.601,2.2,15.7,0.29,1.02,1.69,2.68,[19]-[20]-[21]-[20]
UGC-6973,HSB,25.3,1.647,2.2,11,0.35,3.99,2.42,10.58,[19]-[20]-[22]-[20]
UGC-6983,LSB,20.2,0.577,2.9,17.6,0.37,1.28,2.22,2.43,[19]-[20]-[21]-[20]
UGC-7089,LSB,13.9,0.352,2.3,7.1,0.07,0.35,0.98,3.18,[19]-[20]-[21]-[20]
DDO-0064,LSB,6.8,0.015,1.3,2.1,0.02,0.04,2.87,6.05,[23]-[24]-[24]-[25]
F563-1,LSB,46.8,0.14,2.9,18.2,0.29,1.35,9.65,2.44,[26]-[27]-[27]-[28]
F563-V2,LSB,57.8,0.266,2,6.3,0.2,0.6,2.26,6.15,[29]-[27]-[27]-[28]
F568-3,LSB,80,0.351,4.2,11.6,0.3,1.2,3.43,3.16,[26]-[27]-[27]-[28]
F583-1,LSB,32.4,0.064,1.6,14.1,0.18,0.15,2.32,1.92,[26]-[27]-[27]-[28]
F583-4,LSB,50.8,0.096,2.8,7,0.06,0.31,3.25,2.52,[26]-[27]-[27]-[28]
