Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
DDO-0168,LSB,4.5,0.032,1.2,4.4,0.03,0.06,2.03,2.22,[45]-[45]-[45]-[45]
DDO-0170,LSB,16.6,0.023,1.9,13.3,0.09,0.05,1.97,1.18,[46]-[46]-[46]-[46]
M-0033,HSB,0.9,0.850,2.5,8.9,0.11,1.13,1.33,4.62,[47]-[47]-[48]-[47]
NGC-0055,LSB,1.9,0.588,1.9,12.2,0.13,0.30,0.50,2.22,[49]-[49]-[49]-[49]
NGC-0247,LSB,3.6,0.512,4.2,14.3,0.16,1.25,2.43,2.94,[50]-[51]-[51]-[50]
NGC-0300,LSB,2.0,0.271,2.1,11.7,0.08,0.65,2.41,2.69,[52]-[51]-[51]-[52]
NGC-0801,HSB,63.0,4.746,9.5,46.7,1.39,6.93,2.37,3.59,[45]-[45]-[53]-[45]
NGC-1003,LSB,11.8,1.480,1.9,31.2,0.63,0.66,0.45,1.53,[47]-[47]-[54]-[55]
NGC-1560,LSB,3.7,0.053,1.6,10.3,0.12,0.17,3.16,2.16,[45]-[45]-[45]-[45]
NGC-2683,HSB,10.2,1.882,2.4,36.0,0.15,6.03,3.20,2.28,[56]-[56]-[57]-[55]
NGC-2998,HSB,59.3,5.186,4.8,41.1,1.78,7.16,1.75,3.43,[45]-[45]-[53]-[45]
NGC-3109,LSB,1.5,0.064,1.3,7.1,0.06,0.02,0.35,2.29,[58]-[59]-[59]-[58]
NGC-5033,HSB,15.3,3.058,7.5,45.6,1.07,0.27,3.28,3.16,[15]-[15]-[14]-[15]
NGC-5371,HSB,35.3,7.593,4.4,41.0,0.89,8.52,1.44,3.98,[15]-[15]-[14]-[15]
NGC-5533,HSB,42.0,3.173,7.4,56.0,1.39,2.00,4.14,3.31,[45]-[45]-[57]-[45]
NGC-5585,HSB,9.0,0.333,2.0,14.0,0.28,0.36,1.09,2.06,[60]-[60]-[60]-[60]
NGC-5907,HSB,16.5,5.400,5.5,48.0,1.90,2.49,1.89,3.44,[61]-[55]-[61]-[55]
NGC-6503,HSB,5.5,0.417,1.6,20.7,0.14,1.53,3.66,2.30,[15]-[15]-[14]-[15]
NGC-6674,HSB,42.0,4.935,7.1,59.1,2.18,2.00,2.52,3.57,[45]-[45]-[54]-[45]
UGC-2259,LSB,10.0,0.110,1.4,7.8,0.04,0.47,4.23,3.76,[62]-[62]-[63]-[62]
UGC-2885,HSB,80.4,23.955,13.3,74.1,3.98,8.47,0.72,4.31,[64]-[53]-[53]-[55]
Malin-1,LSB,338.5,7.912,84.2,98.0,5.40,1.00,1.32,1.77,[65]-[65]-[66]-[65]
