R,R_ERR_MIN,R_ERR_MAX,VROT_DATA,VROT_DATA_ERR_MIN,VROT_DATA_ERR_MAX,VROT_GR,VROT_DARK,VROT_TOTAL,VROT_CONFORMAL,VROT_BULGE
.094,.094,.094,201.765,199.265,204.265,199.01797718349076,1.915341729424236,199.02719355944535,199.02317148948902,198.13217863915543
.122,.122,.122,218.694,214.694,222.694,221.86360932459505,2.4857079390433596,221.87753353256556,221.84625719636264,220.6244407144385
.141,.141,.141,232.647,229.647,235.647,233.02991444677008,2.8726725753810998,233.0476201869359,232.9945584069899,231.52391606025301
.2,.2,.2,233,219.68,246.32,252.45824092900213,4.073834898730314,252.4911078508473,252.35209081998218,249.97295206690893
.226,.226,.226,245.435,242.435,248.435,255.97139942798515,4.602887597434478,256.0127807343917,255.8264137597308,252.97751892808628
.245,.245,.245,254.888,252.888,256.888,257.2165242647674,4.989378122699889,257.26491064445406,257.04002379029936,253.81966062126475
.264,.264,.264,256.341,253.841,258.841,257.58293991177794,5.3757531861370165,257.63902976046325,257.37219539950325,253.7560280529382
.311,.311,.311,248.224,245.224,251.224,255.75417842466177,6.330970200672672,255.83252522960314,255.44661825982183,250.74463593525476
.376,.376,.376,250.059,247.059,253.059,249.4665391694154,7.650512878612902,249.58382261771553,248.99580011699123,242.53841797077285
.38,.38,.38,268.92,264.25,273.59000000000003,249.0015572615306,7.7316517172170505,249.1215646164411,248.51965349276477,241.9446548654827
.414,.414,.414,251.565,249.065,254.065,244.86757011089657,8.421004968977932,245.0123266627669,244.2855359298053,236.66663008900858
.471,.471,.471,250.824,248.324,253.324,237.6594401071235,9.57526906617847,237.85225508647406,236.8889417128166,227.34756919952085
.518,.518,.518,248.006,244.006,252.006,231.8801935315447,10.525554440208875,232.11895969200884,230.93576057109422,219.6557732245415
.546,.546,.546,243.635,241.635,245.635,228.61443657108452,11.090989954940573,228.88331233817595,227.55891762363726,215.181855614838
.565,.565,.565,239.588,237.588,241.588,226.49267884146767,11.47436675827757,226.78314457050743,225.35878648832394,212.21279531237397
.659,.659,.659,229.353,227.353,231.353,217.2685132893042,13.367060705495879,217.67931729691034,215.71494052441483,198.50419731325636
.66,.66,.66,250.75,239.4,262.1,217.18216949372334,13.387157667229276,217.59437202374428,215.62387440915612,198.36778714774613
.696,.696,.696,229.259,225.259,233.259,214.2374458684626,14.110079334843714,214.70160118424369,212.50599784144418,193.59175884288996
.894,.894,.894,222.465,219.465,225.465,203.1296343473157,18.064222765833925,203.93127394837666,200.36408987626774,171.65216766927207
.941,.941,.941,220.647,216.647,224.647,201.53984817082346,18.996762705911333,202.43316772214794,198.5160388529567,167.36899919079067
.988,.988,.988,217.029,213.029,221.029,200.26500265563539,19.926733276311104,201.2539340925461,196.9805853897109,163.37687741427004
1.035,1.035,1.035,215.412,213.412,217.412,199.2680444247739,20.854022010049995,200.3562920471162,195.72168418593836,159.64802279556642
1.064,1.064,1.064,212.641,210.641,214.641,198.77679176054423,21.424792909092034,199.9280738010854,195.06853119360323,157.46749608721962
1.082,1.082,1.082,215.294,212.294,218.294,198.5154455807656,21.778518599509816,199.70649966017407,194.7066924183573,156.15722487745953
1.129,1.129,1.129,216.776,213.776,219.776,197.97715318245432,22.700114963430327,199.27430441876328,193.90632732089193,152.8818526409428
1.176,1.176,1.176,217.559,213.559,221.559,197.62639265872122,23.618705309630116,199.0327468428304,193.29447897109597,149.8017238515744
1.205,1.205,1.205,216.288,213.288,219.288,197.4930616748771,24.183950374019147,198.96827100170978,193.00079386808648,147.9907283740579
1.224,1.224,1.224,212.441,210.441,214.441,197.4370431799964,24.553629982866283,198.95795225372441,192.8400940949855,146.83894960118434
1.318,1.318,1.318,197.706,194.706,200.706,197.47790814100216,26.37472079363742,199.23139838059765,192.36851309911515,141.50966358843397
1.327,1.327,1.327,214.282,211.282,217.282,197.5063838457869,26.54837774524486,199.2826836951558,192.34846850252666,141.02919122431481
1.365,1.365,1.365,208.588,206.588,210.588,197.667544169893,27.28020340441341,199.5411424141467,192.3059420704421,139.0530232311496
1.459,1.459,1.459,197.553,188.553,206.553,198.31245563787238,29.0805755536449,200.43330545509232,192.45587513713707,134.4999769454947
1.506,1.506,1.506,207.835,205.335,210.335,198.74354701138785,29.975285839993436,200.9913312554973,192.64460640289516,132.3848041329491
1.525,1.525,1.525,209.188,206.188,212.188,198.9349737217866,30.33591313327866,201.23466747883614,192.73907978563926,131.55759496290395
1.553,1.553,1.553,205.318,202.318,208.318,199.23322658362545,30.866230471572585,201.61002643332617,192.8955512623731,130.3663130178277
1.6,1.6,1.6,201.8,198.8,204.8,199.7725903198823,31.753326417981263,202.28040335564492,193.19991753679992,128.43737750032523
1.61,1.61,1.61,217.83,212.02,223.64000000000001,199.89299017833508,31.94156599113191,202.4289286648571,193.27080853995784,128.03789697461286
1.619,1.619,1.619,195.153,192.153,198.153,200.0029065243404,32.11082889727808,202.5642316665366,193.33631542097265,127.68153247033865
1.647,1.647,1.647,198.082,191.082,205.082,200.35374584545443,32.63649332612449,202.99449295715172,193.5498964669924,126.59157914355232
1.694,1.694,1.694,200.365,197.365,203.365,200.9696938420232,33.5156535354751,203.7452254038522,193.93854831678684,124.82312132332892
1.807,1.807,1.807,201.982,198.982,204.982,202.557122870391,35.612537718586566,205.66390268661252,194.9955794833462,120.8572777549271
1.845,1.845,1.845,201.388,194.388,208.388,203.1154373750501,36.31221117127917,206.33578841346323,195.38065674123757,119.60620772712534
1.901,1.901,1.901,200.247,197.247,203.247,203.95307407440453,37.33817074421625,207.34270042353504,195.96769244722927,117.83135395560156
1.939,1.939,1.939,198.153,196.653,199.653,204.52873903263068,38.03082310760334,208.03448895921022,196.3764804770851,116.67102964300638
2.005,2.005,2.005,199.488,196.488,202.488,205.53676432301094,39.2269524427847,209.24654187422414,197.10072165014392,114.73469244505641
2.071,2.071,2.071,195.324,193.324,197.324,206.54842652783515,40.414190057158194,210.46510223574032,197.83620819056955,112.891670529006
2.071,2.071,2.071,191.324,189.824,192.824,206.54842652783515,40.414190057158194,210.46510223574032,197.83620819056955,112.891670529006
2.071,2.071,2.071,201.064,201.064,201.064,206.54842652783515,40.414190057158194,210.46510223574032,197.83620819056955,112.891670529006
2.071,2.071,2.071,212.064,212.064,212.064,206.54842652783515,40.414190057158194,210.46510223574032,197.83620819056955,112.891670529006
2.205,2.205,2.205,195.427,195.427,195.427,208.58677489517743,42.79668398003951,212.9319112318743,199.3367942983468,109.4076414746804
2.205,2.205,2.205,204.628,204.628,204.628,208.58677489517743,42.79668398003951,212.9319112318743,199.3367942983468,109.4076414746804
2.221,2.221,2.221,193.447,190.447,196.447,208.8271385051206,43.07861641277233,213.22415662460855,199.51496709026816,109.01284495911452
2.259,2.259,2.259,190.353,188.353,192.353,209.3944015330198,43.74600229513341,213.91523580656272,199.93622490618753,108.0920710319998
2.306,2.306,2.306,189.435,186.435,192.435,210.0881010870942,44.56713566596024,214.76321798634237,200.45261365464944,106.98485495858644
2.339,2.339,2.339,190.574,190.574,190.574,210.56929865347203,45.14080272619551,215.35348059917766,200.8114559760671,106.22747118783042
2.339,2.339,2.339,208.375,208.375,208.375,210.56929865347203,45.14080272619551,215.35348059917766,200.8114559760671,106.22747118783042
2.353,2.353,2.353,188.118,185.118,191.118,210.77186517041773,45.383456620449344,215.60249832095397,200.96264260541884,105.91098090293507
2.4,2.4,2.4,189.3,186.3,192.3,211.44458039563688,46.1949273003587,216.4319336118688,201.46514917621408,104.868808378747
2.428,2.428,2.428,193.929,190.929,196.929,211.83968988443237,46.67603651239204,216.92096854577852,201.76051369693002,104.26237483905322
2.447,2.447,2.447,190.082,188.582,191.582,212.10527476595644,47.00151231490298,217.25052299920904,201.9591120098948,103.85680771841933
2.472,2.472,2.472,191.103,191.103,191.103,212.4515150552461,47.428544928771004,217.68121904135393,202.21806502366846,103.33030728530417
2.472,2.472,2.472,199.804,199.804,199.804,212.4515150552461,47.428544928771004,217.68121904135393,202.21806502366846,103.33030728530417
2.494,2.494,2.494,189.265,187.265,191.265,212.75310325282936,47.803178704118835,218.05739344935543,202.44363681434947,102.87355063115125
2.541,2.541,2.541,190.647,188.647,192.647,213.38733490350123,48.59989590042588,218.8517867844611,202.91794368447202,101.91770172571096
2.57,2.57,2.57,219.58,218.10000000000002,221.06,213.77160886768485,49.08900599110793,219.335430943278,203.2052051665733,101.34104831476712
2.588,2.588,2.588,187.529,186.029,189.029,214.0073413033588,49.391635688525106,219.63304807728798,203.38135573842214,100.98801088361333
2.605,2.605,2.605,189.914,189.914,189.914,214.2279891433116,49.676778798926726,219.91228634213306,203.54617394377115,100.6579520983351
2.605,2.605,2.605,198.914,198.914,198.914,214.2279891433116,49.676778798926726,219.91228634213306,203.54617394377115,100.6579520983351
2.635,2.635,2.635,189.512,188.012,191.012,214.61258623963693,50.17837216377067,220.4006152565629,203.83328892094102,100.08330638375776
2.682,2.682,2.682,189.794,188.294,191.294,215.20261643178696,50.96008168915305,221.15400978696266,204.27324284434206,99.20248869260429
2.729,2.729,2.729,188.876,187.376,190.376,215.77705321009333,51.73674285102567,221.8928283042618,204.70079255331544,98.34452484509261
2.736,2.736,2.736,191.704,191.704,191.704,215.86125355427583,51.85198264978944,222.00159659501873,204.7633861705567,98.21863804697502
2.736,2.736,2.736,196.804,196.804,196.804,215.86125355427583,51.85198264978944,222.00159659501873,204.7633861705567,98.21863804697502
2.776,2.776,2.776,188.959,187.459,190.459,216.33558503828118,52.50833641370498,222.6167351004641,205.11558111316873,97.5084433509857
