Galaxy,Type,Distance,L<sub>B</sub>,R<sub>0</sub>,R<sub>last</sub>,M<sub>HI</sub>,M<sub>disk</sub>,(M/L)<sub>stars</sub>,(v<sup>2</sup>/c<sup>2</sup>R)<sub>last</sub>,Data Sources
DDO-0154,LSB,4.2,0.007,0.8,8.1,0.03,0.003,0.45,1.12,[10]-[11]-[12]-[11]
IC-2574,LSB,4.5,0.345,4.2,13.1,0.19,0.098,0.28,1.69,[10]-[11]-[13]-[11]
NGC-0925,LSB,8.7,1.444,3.9,12.4,0.41,1.372,0.95,4.17,[10]-[11]-[12]-[11]
NGC-2403,HSB,4.3,1.647,2.7,23.9,0.46,2.370,1.44,2.89,[10]-[11]-[14]-[11]
NGC-2841,HSB,14.1,4.742,3.5,51.6,0.86,19.552,4.12,5.83,[10]-[11]-[15]-[11]
NGC-2903,HSB,9.4,4.088,3.0,30.9,0.49,7.155,1.75,3.75,[10]-[11]-[14]-[11]
NGC-2976,LSB,3.6,0.201,1.2,2.6,0.01,0.322,1.60,10.43,[10]-[11]-[16]-[11]
NGC-3031,HSB,3.7,3.187,2.6,15.0,0.38,8.662,2.72,9.31,[10]-[11]-[17]-[11]
NGC-3198,HSB,14.1,3.241,4.0,38.6,1.06,3.644,1.12,2.09,[10]-[11]-[14]-[11]
NGC-3521,HSB,12.2,4.769,3.3,35.3,1.03,9.245,1.94,4.21,[10]-[11]-[12]-[11]
NGC-3621,HSB,7.4,2.048,2.9,28.7,0.89,2.891,1.41,3.18,[10]-[11]-[10]-[11]
NGC-3627,HSB,10.2,3.700,3.1,8.2,0.10,6.622,1.79,15.64,[10]-[11]-[12]-[11]
NGC-4736,HSB,5.0,1.460,2.1,10.3,0.05,1.630,1.60,4.66,[10]-[11]-[10]-[11]
NGC-4826,HSB,5.4,1.441,2.6,15.8,0.03,3.640,2.53,5.46,[10]-[11]-[18]-[11]
NGC-5055,HSB,9.2,3.622,2.9,44.4,0.76,6.035,1.87,2.36,[10]-[11]-[12]-[11]
NGC-6946,HSB,6.9,3.732,2.9,22.4,0.57,6.272,1.68,6.39,[10]-[11]-[12]-[11]
NGC-7331,HSB,14.2,6.773,3.2,24.4,0.85,12.086,1.78,9.61,[10]-[11]-[12]-[11]
NGC-7793,HSB,5.2,0.910,1.7,10.3,0.16,0.793,0.87,3.61,[10]-[11]-[12]-[11]
